game_id,competition_id_x,season,round,date_x,home_club_goals,away_club_goals,home_club_position,away_club_position,home_club_manager_name,away_club_manager_name,stadium,attendance,referee,home_club_name,away_club_name,aggregate,competition_type,appearance_id,player_id_x,player_name_x,yellow_cards,red_cards,goals,assists,minutes_played,name,last_season,current_club_id,player_code,country_of_birth,date_of_birth,sub_position,position_x,foot,height_in_cm,market_value_in_eur,highest_market_value_in_eur,contract_expiration_date,agent_name,date,minute,type_y
2225471,GB1,2012,4. Matchday,2012-09-15,2,0,14.0,5.0,Paul Lambert,Michael Laudrup,Villa Park,34005.0,Lee Mason,Aston Villa Football Club,Swansea City,0 days 02:00:00,domestic_league,2225471_39471,39471,Brad Guzan,0,0,0,0,90,Brad Guzan,2016,641,brad-guzan,United States,1984-09-09,Goalkeeper,Goalkeeper,left,193.0,100000.0,5000000.0,2023-12-31,YMU Group,2012-09-15,80.0,Cards
2225555,GB1,2012,14. Matchday,2012-11-27,1,0,17.0,19.0,Paul Lambert,Brian McDermott,Villa Park,28692.0,Lee Probert,Aston Villa Football Club,Reading FC,0 days 01:00:00,domestic_league,2225555_39471,39471,Brad Guzan,0,0,0,0,90,Brad Guzan,2016,641,brad-guzan,United States,1984-09-09,Goalkeeper,Goalkeeper,left,193.0,100000.0,5000000.0,2023-12-31,YMU Group,Unknown Date,Unknown Minute,Substitutions
2258957,GB1,2012,20. Matchday,2012-12-29,0,3,18.0,17.0,Paul Lambert,Roberto Martínez,Villa Park,33374.0,Kevin Friend,Aston Villa Football Club,Wigan Athletic,0 days 00:03:00,domestic_league,2258957_39471,39471,Brad Guzan,0,0,0,0,90,Brad Guzan,2016,641,brad-guzan,United States,1984-09-09,Goalkeeper,Goalkeeper,left,193.0,100000.0,5000000.0,2023-12-31,YMU Group,2012-12-29,64.0,Substitutions
2332041,GB1,2013,14. Matchday,2013-12-04,2,3,8.0,10.0,Mauricio Pochettino,Paul Lambert,St Mary's Stadium,29814.0,Jonathan Moss,Southampton FC,Aston Villa Football Club,0 days 02:03:00,domestic_league,2332041_39471,39471,Brad Guzan,0,0,0,0,90,Brad Guzan,2016,641,brad-guzan,United States,1984-09-09,Goalkeeper,Goalkeeper,left,193.0,100000.0,5000000.0,2023-12-31,YMU Group,Unknown Date,Unknown Minute,Substitutions
2332234,GB1,2013,23. Matchday,2014-01-29,4,3,10.0,15.0,Paul Lambert,Pepe Mel,Villa Park,36083.0,Mark Clattenburg,Aston Villa Football Club,West Bromwich Albion,0 days 04:03:00,domestic_league,2332234_39471,39471,Brad Guzan,0,0,0,0,90,Brad Guzan,2016,641,brad-guzan,United States,1984-09-09,Goalkeeper,Goalkeeper,left,193.0,100000.0,5000000.0,2023-12-31,YMU Group,Unknown Date,Unknown Minute,Substitutions
2332288,GB1,2013,35. Matchday,2014-04-19,0,0,15.0,8.0,Paul Lambert,Mauricio Pochettino,Villa Park,35134.0,Lee Mason,Aston Villa Football Club,Southampton FC,0 days 00:00:00,domestic_league,2332288_39471,39471,Brad Guzan,0,0,0,0,90,Brad Guzan,2016,641,brad-guzan,United States,1984-09-09,Goalkeeper,Goalkeeper,left,193.0,100000.0,5000000.0,2023-12-31,YMU Group,Unknown Date,Unknown Minute,Substitutions
2486575,GB1,2014,11. Matchday,2014-11-08,0,0,4.0,16.0,Sam Allardyce,Paul Lambert,Boleyn Ground,34857.0,Jonathan Moss,West Ham United Football Club,Aston Villa Football Club,0 days 00:00:00,domestic_league,2486575_39471,39471,Brad Guzan,0,0,0,0,90,Brad Guzan,2016,641,brad-guzan,United States,1984-09-09,Goalkeeper,Goalkeeper,left,193.0,100000.0,5000000.0,2023-12-31,YMU Group,Unknown Date,Unknown Minute,Substitutions
2577961,GB1,2015,7. Matchday,2015-09-26,3,2,9.0,18.0,Brendan Rodgers,Tim Sherwood,Anfield,44228.0,Jonathan Moss,Liverpool Football Club,Aston Villa Football Club,0 days 03:02:00,domestic_league,2577961_39471,39471,Brad Guzan,0,0,0,0,90,Brad Guzan,2016,641,brad-guzan,United States,1984-09-09,Goalkeeper,Goalkeeper,left,193.0,100000.0,5000000.0,2023-12-31,YMU Group,Unknown Date,Unknown Minute,Substitutions
2578079,GB1,2015,17. Matchday,2015-12-19,1,1,17.0,20.0,Steve McClaren,Racmi Garde,St James' Park,48234.0,Martin Atkinson,Newcastle United Football Club,Aston Villa Football Club,0 days 01:01:00,domestic_league,2578079_39471,39471,Brad Guzan,0,0,0,0,90,Brad Guzan,2016,641,brad-guzan,United States,1984-09-09,Goalkeeper,Goalkeeper,left,193.0,100000.0,5000000.0,2023-12-31,YMU Group,Unknown Date,Unknown Minute,Substitutions
2225453,GB1,2012,3. Matchday,2012-09-02,1,1,11.0,16.0,Alan Pardew,Paul Lambert,St James' Park,48245.0,Lee Probert,Newcastle United Football Club,Aston Villa Football Club,0 days 01:01:00,domestic_league,2225453_39471,39471,Brad Guzan,1,0,0,0,90,Brad Guzan,2016,641,brad-guzan,United States,1984-09-09,Goalkeeper,Goalkeeper,left,193.0,100000.0,5000000.0,2023-12-31,YMU Group,2012-09-02,90.0,Cards
